"","X.1","X.1to1","X1to.1","X1","sample","shape","BetaSigma","model","segs"
"3252",0.780487804878049,0.219512195121951,0.136986301369863,0.863013698630137,10461,1,500,"gaussian",64
"3253",0.966666668578319,0.033333331421681,0.0476190655917701,0.95238093440823,10461,1,500,"sign",65
"3254",0.8,0.2,0.230769230769231,0.769230769230769,10461,1,500,"gaussian",65
"3255",0.942837548157778,0.0571624518422224,0.0801464563817555,0.919853543618244,10461,1,500,"sign",66
"3256",0.846153846153846,0.153846153846154,0.117647058823529,0.882352941176471,10461,1,500,"gaussian",66
"3257",0.95241496338652,0.0475850366134803,0.0566132672596307,0.943386732740369,10461,1,500,"sign",67
"3258",0.921739130434783,0.0782608695652174,0.113636363636364,0.886363636363636,10461,1,500,"gaussian",67
"3259",0.975476404385799,0.0245235956142015,0.0180495697414087,0.981950430258591,10461,1,500,"sign",68
"3260",0.958333333333333,0.0416666666666667,0.0408163265306122,0.959183673469388,10461,1,500,"gaussian",68
"3261",0.941582268620167,0.0584177313798331,0.150126210912889,0.849873789087111,10461,1,500,"sign",69
"3262",0.958333333333333,0.0416666666666667,0.222222222222222,0.777777777777778,10461,1,500,"gaussian",69
"3263",0.944300549506931,0.0556994504930694,0.0599681335802136,0.940031866419786,10461,1,500,"sign",70
"3264",0.846153846153846,0.153846153846154,0.0476190476190476,0.952380952380952,10461,1,500,"gaussian",70
"3265",0.800595746446995,0.199404253553005,0.0556031876163008,0.944396812383699,10461,1,500,"sign",71
"3266",0.714285714285714,0.285714285714286,0.125,0.875,10461,1,500,"gaussian",71
"3267",0.904995212228533,0.0950047877714669,0.0693546957784255,0.930645304221575,10461,1,500,"sign",72
"3268",0.871794871794872,0.128205128205128,0.131578947368421,0.868421052631579,10461,1,500,"gaussian",72
"3269",0.942461250407707,0.0575387495922929,0.0686882677725324,0.931311732227468,10461,1,500,"sign",73
"3270",0.898305084745763,0.101694915254237,0.1,0.9,10461,1,500,"gaussian",73
"3271",0.975842909455454,0.0241570905445463,0.0328057921468665,0.967194207853134,10461,1,500,"sign",74
"3272",0.885714285714286,0.114285714285714,0.0952380952380952,0.904761904761905,10461,1,500,"gaussian",74
"3273",0.967186374473848,0.0328136255261518,0.0614845191561147,0.938515480843885,10461,1,500,"sign",75
"3274",0.902439024390244,0.0975609756097561,0.0677966101694915,0.932203389830508,10461,1,500,"gaussian",75
"3275",0.928882610089686,0.0711173899103143,0.0717747122005571,0.928225287799443,10461,1,500,"sign",76
"3276",1,0,1,0,10461,1,500,"gaussian",76
"3277",0.965939559659858,0.0340604403401419,0.0233573896226892,0.976642610377311,10461,1,500,"sign",77
"3278",0.888888888888889,0.111111111111111,0.0833333333333333,0.916666666666667,10461,1,500,"gaussian",77
"3279",0.941176470588235,0.0588235294117647,0.2,0.8,10461,1,500,"sign",78
"3280",0.9,0.1,0.0833333333333333,0.916666666666667,10461,1,500,"gaussian",78
"3281",0.969048241806058,0.0309517581939415,0.0215737632174545,0.978426236782545,10461,1,500,"sign",79
"3282",0.976377952755906,0.0236220472440945,0.129032258064516,0.870967741935484,10461,1,500,"gaussian",79
"3283",0.999999999358041,6.41958769193496e-10,0.142807719281349,0.857192280718651,10461,1,500,"sign",80
"3284",1,0,0.142857142857143,0.857142857142857,10461,1,500,"gaussian",80
"3285",0.95809537007854,0.0419046299214601,0.067525193466079,0.932474806533921,10461,1,500,"sign",81
"3286",0.904761904761905,0.0952380952380952,0.135135135135135,0.864864864864865,10461,1,500,"gaussian",81
"3287",0.911889037004594,0.0881109629954063,0.103992080591958,0.896007919408042,10461,1,500,"sign",82
"3288",0.84,0.16,0.266666666666667,0.733333333333333,10461,1,500,"gaussian",82
"3289",0.640872749375125,0.359127250624875,0.999999996658331,3.34166895325913e-09,10461,1,500,"sign",83
"3290",0.666666666666667,0.333333333333333,1,0,10461,1,500,"gaussian",83
"3291",0.749567754392004,0.250432245607996,1.0236741910239e-14,0.99999999999999,10461,1,500,"sign",84
"3292",0.666666666666667,0.333333333333333,0.0555555555555556,0.944444444444444,10461,1,500,"gaussian",84
"3293",0.972078628259641,0.0279213717403591,0.0403593134866451,0.959640686513355,10461,1,500,"sign",86
"3294",0.943820224719101,0.0561797752808989,0.181818181818182,0.818181818181818,10461,1,500,"gaussian",86
"3295",0.945962036544952,0.0540379634550476,0.020969209052542,0.979030790947458,10461,1,500,"sign",87
"3296",0.888888888888889,0.111111111111111,0.0816326530612245,0.918367346938776,10461,1,500,"gaussian",87
"3297",0.950563748262359,0.0494362517376412,0.0950174348038717,0.904982565196128,10461,1,500,"sign",88
"3298",1,0,1,0,10461,1,500,"gaussian",88
"3299",0.976738154536067,0.0232618454639331,0.0278280901026069,0.972171909897393,10461,1,500,"sign",90
"3300",0.87037037037037,0.12962962962963,0.25,0.75,10461,1,500,"gaussian",90
"3301",0.964160260907297,0.0358397390927034,0.0915871204150306,0.90841287958497,10461,1,500,"sign",91
"3302",0.844155844155844,0.155844155844156,0.151162790697674,0.848837209302326,10461,1,500,"gaussian",91
"3303",0.965884254051233,0.0341157459487668,0.167303294876611,0.832696705123389,10461,1,500,"sign",92
"3304",0.849056603773585,0.150943396226415,0.28125,0.71875,10461,1,500,"gaussian",92
"3305",0.964258486704785,0.0357415132952154,0.0534301544269784,0.946569845573022,10461,1,500,"sign",93
"3306",0.92156862745098,0.0784313725490196,0.0537634408602151,0.946236559139785,10461,1,500,"gaussian",93
"3307",0.973414728168337,0.026585271831663,0.0258835573603993,0.974116442639601,10461,1,500,"sign",94
"3308",0.895522388059702,0.104477611940299,0.0754716981132075,0.924528301886792,10461,1,500,"gaussian",94
"3309",0.921127115707849,0.0788728842921514,0.114712472465263,0.885287527534737,10461,1,500,"sign",95
"3310",0.8,0.2,0.0595238095238095,0.94047619047619,10461,1,500,"gaussian",95
"3311",0.977357332903727,0.0226426670962728,0.0782939312373752,0.921706068762625,10461,1,500,"sign",96
"3312",0.782608695652174,0.217391304347826,0.176470588235294,0.823529411764706,10461,1,500,"gaussian",96
"3313",0.962121162864007,0.0378788371359928,0.0538489191413913,0.946151080858609,10461,1,500,"sign",97
"3314",0.846153846153846,0.153846153846154,0.0625,0.9375,10461,1,500,"gaussian",97
"3315",0.945406732191581,0.0545932678084185,0.0553581909625169,0.944641809037483,10461,1,500,"sign",98
"3316",0.925,0.075,0.0428571428571429,0.957142857142857,10461,1,500,"gaussian",98
"3317",0.591677610091134,0.408322389908866,0.270120243861504,0.729879756138496,10461,1,500,"sign",99
"3318",0.714285714285714,0.285714285714286,0.6,0.4,10461,1,500,"gaussian",99
"3319",0.802871891580659,0.197128108419341,0.206078726352723,0.793921273647277,10461,1,500,"sign",100
"3320",0.791666666666667,0.208333333333333,0.4,0.6,10461,1,500,"gaussian",100
"3321",0.929627982267015,0.0703720177329847,0.0446331206467494,0.955366879353251,10461,1,500,"sign",101
"3322",0.896551724137931,0.103448275862069,0.0775862068965517,0.922413793103448,10461,1,500,"gaussian",101
"3323",0.963924961206452,0.0360750387935477,0.0431928537626838,0.956807146237316,10461,1,500,"sign",102
"3324",0.889447236180904,0.110552763819095,0.0839416058394161,0.916058394160584,10461,1,500,"gaussian",102
"3325",0.944165117809975,0.0558348821900251,0.0515145910849229,0.948485408915077,10461,1,500,"sign",103
"3326",0.887096774193548,0.112903225806452,0.142857142857143,0.857142857142857,10461,1,500,"gaussian",103
