"","sample","shape","area"
"840",9529,13,796
"841",9530,1,148531
"842",9530,2,1440
"843",9530,3,987.5
"844",9530,4,781.5
"845",9544,1,283959
"846",9544,2,1656
"847",9544,3,1605
"848",9544,4,1131
"849",9544,5,882
"850",9544,6,857
"851",9544,7,784
"852",9545,1,14587
"853",9545,2,9367.5
"854",9545,3,4698
"855",9545,4,1414
"856",9546,1,21618
"857",9546,2,1340
"858",9549,1,414811.5
"859",9549,2,1458.5
"860",9549,3,1253.5
"861",9550,1,388132
"862",9550,2,2406.5
"863",9550,3,2003
"864",9665,1,37572
"865",9667,1,265202
"866",9667,2,1009.5
"867",9668,1,457588
"868",9668,2,6769.5
"869",9683,1,383281.5
"870",9683,2,16155
"871",9683,3,4865
"872",9683,4,4053
"873",9683,5,3843
"874",9683,6,1463.5
"875",9683,7,1269
"876",9683,8,925.5
"877",9683,9,872.5
"878",9683,10,808.5
"879",9684,1,641493.5
"880",9684,2,1636.5
"881",9684,3,931.5
"882",9685,1,56897
"883",9685,2,48987
"884",9685,3,39998
"885",9685,4,3543.5
"886",9685,5,3017.5
"887",9685,6,2132
"888",9685,7,1415.5
"889",9685,8,997.5
"890",9689,1,53833
"891",9689,2,50237
"892",9689,3,7966.5
"893",9689,4,3923
"894",9689,5,1945
"895",9689,6,1297.5
"896",9689,7,1004
"897",9689,8,931.5
"898",9692,1,348118.5
"899",9692,2,2416
"900",9692,3,2054.5
"901",9692,4,1492
"902",9692,5,950
"903",9701,1,116757.5
"904",9701,2,1771
"905",9701,3,1116.5
"906",9706,1,176060.5
"907",9706,2,3877
"908",9706,3,3699
"909",9706,4,1796
"910",9706,5,1492
"911",9706,6,844
"912",9706,7,869.5
"913",9707,1,208572
"914",9707,2,2802
"915",9707,3,1097
"916",9723,1,56202.5
"917",9723,2,49008
"918",9723,3,2976
"919",9723,4,2809.5
"920",9732,1,102935
"921",9737,1,41181.5
"922",9737,2,1839.5
"923",9737,3,911
"924",9738,1,36076
"925",9738,2,18607.5
"926",9738,3,11434
"927",9738,4,4369
"928",9738,5,3638
"929",9738,6,2555
"930",9738,7,2167.5
"931",9738,8,1982.5
"932",9738,9,1627
"933",9740,1,103643
"934",9740,2,1449
"935",9740,3,1165
"936",9741,1,95998.5
"937",9741,2,69208
"938",9741,3,3189
"939",9741,4,2764.5
"940",9741,5,1557
"941",9741,6,1124.5
"942",9741,7,830.5
"943",9746,1,155235.5
"944",9747,1,126093
"945",9747,2,3033.5
"946",9747,3,2778.5
"947",9747,4,1201.5
"948",9747,5,871.5
"949",9747,6,825.5
"950",9754,1,13160.5
"951",9754,2,1868
"952",9754,3,1617
"953",9754,4,1174.5
"954",9756,1,135564.5
"955",9756,2,30436
"956",9756,3,4301.5
"957",9756,4,3370
"958",9756,5,2003
"959",9757,1,76758
"960",9757,2,54205
"961",9776,1,94354
"962",9776,2,57735.5
"963",9776,3,47063
"964",9776,4,1245.5
"965",9778,1,612083
"966",9778,2,1249.5
"967",9778,3,852.5
"968",9778,4,831.5
"969",9808,1,82973
"970",9808,2,34927
"971",9808,3,6729
"972",9808,4,3455.5
"973",9808,5,3291.5
"974",9808,6,3107.5
"975",9808,7,3112.5
"976",9808,8,2001
"977",9808,9,1695.5
"978",9808,10,1517
"979",9808,11,1402.5
"980",9808,12,1170.5
"981",9808,13,1213.5
"982",9808,14,1028
"983",9808,15,803
"984",9808,16,845
"985",9808,17,794
"986",9808,18,800
"987",9813,1,127105.5
"988",9813,2,7387.5
"989",9813,3,2554
"990",9813,4,999.5
"991",9946,1,250740.5
"992",9946,2,152224.5
"993",9946,3,1953.5
"994",9947,1,149417.5
"995",9947,2,10378.5
"996",9947,3,2603
"997",9947,4,1101
"998",9965,1,52231
"999",9965,2,11990
"1000",9965,3,3592
"1001",9965,4,1923.5
"1002",9965,5,1274.5
"1003",9965,6,1129
"1004",9965,7,1137.5
"1005",9966,1,51390
"1006",9966,2,4080
"1007",9966,3,3244.5
"1008",9966,4,2298.5
"1009",9966,5,1579
"1010",9966,6,1536
"1011",9966,7,1194.5
"1012",9966,8,1279.5
"1013",9966,9,929
"1014",9966,10,830.5
"1015",9966,11,815.5
"1016",9967,1,37588
"1017",9967,2,965
"1018",9967,3,870.5
"1019",9967,4,847
"1020",9988,1,87864
"1021",9988,2,48859.5
"1022",9988,3,2830
"1023",9988,4,944.5
"1024",9990,1,84046
"1025",9990,2,34235.5
"1026",9990,3,2322.5
"1027",9990,4,1893
"1028",9990,5,1704.5
"1029",9990,6,1397.5
"1030",9990,7,1282.5
"1031",9990,8,1135.5
"1032",9990,9,1025
"1033",9990,10,966
"1034",9990,11,913.5
"1035",9990,12,856.5
"1036",9990,13,866.5
"1037",9990,14,838
"1038",9991,1,194008.5
"1039",9991,2,118005.5
"1040",9991,3,96136.5
"1041",9993,1,153778
"1042",9993,2,846.5
