"","sample","shape","area"
"836","9465",6,2186
"837","9468",1,126270.5
"838","9468",2,15466.5
"839","9468",3,2788.5
"840","9468",4,1346.5
"841","9468",5,742.5
"842","9469",1,234687
"843","9474",1,207296.5
"844","9474",2,2381
"845","9475",1,274972.5
"846","9475",2,2200
"847","9475",3,922
"848","9481",1,154118.5
"849","9481",2,13561.5
"850","9481",3,4930
"851","9481",4,2879
"852","9481",5,2332
"853","9481",6,1751.5
"854","9481",7,1511.5
"855","9481",8,1122
"856","9482",1,201341
"857","9482",2,12396.5
"858","9482",3,1504.5
"859","9482",4,1476
"860","9482",5,1139.5
"861","9496",1,321844.5
"862","9496",2,2246
"863","9496",3,1552.5
"864","9496",4,1483.5
"865","9496",5,859
"866","9496",6,785
"867","9497",1,442576.5
"868","9497",2,10746
"869","9497",3,1588.5
"870","9497",4,941.5
"871","9528",1,60359
"872","9528",2,11396
"873","9528",3,5567.5
"874","9528",4,2262
"875","9528",5,1317
"876","9528",6,1022.5
"877","9528",7,923
"878","9528",8,878.5
"879","9528",9,912
"880","9529",1,59434
"881","9529",2,8146.5
"882","9529",3,4904
"883","9529",4,4076
"884","9529",5,3696.5
"885","9529",6,3127.5
"886","9529",7,1999
"887","9529",8,1765
"888","9529",9,1665.5
"889","9529",10,1234
"890","9529",11,1164
"891","9529",12,1030.5
"892","9529",13,796
"893","9530",1,148531
"894","9530",2,1440
"895","9530",3,987.5
"896","9530",4,781.5
"897","9531",1,3444.5
"898","9531",2,1572
"899","9531",3,1094
"900","9531",4,1043.5
"901","9531",5,991.5
"902","9531",6,843.5
"903","9531",7,913
"904","9531",8,772
"905","9531",9,813
"906","9531",10,780
"907","9532",1,8780
"908","9532",2,2366.5
"909","9532",3,1199
"910","9532",4,1198
"911","9532",5,973.5
"912","9532",6,972
"913","9532",7,903
"914","9532",8,849
"915","9532",9,787
"916","9543",1,219584
"917","9543",2,24341
"918","9543",3,1918.5
"919","9543",4,842.5
"920","9543",5,796
