"","Re1..Intercept.","Re1.sd","sample","shape","BetaSigma","status","segs"
"405",-1.791,1.853,10046,1,500,-1,87
"406",1.892,1.119,10046,1,500,1,87
"407",-5.786,1.617,10046,1,500,-1,86
"408",2.607,3.13,10046,1,500,1,86
"409",-1.667,3.352,10046,1,500,-1,85
"410",8.945,2.48,10046,1,500,1,85
"411",-4.644,2.608,10046,1,500,-1,84
"412",2.402,3.019,10046,1,500,1,84
"413",-1.447,3.963,10046,1,500,-1,83
"414",6.251,2.596,10046,1,500,1,83
"415",0.612,0.537,10046,1,500,-1,82
"416",2.534,0.652,10046,1,500,1,82
"417",-0.425,1.404,10046,1,500,-1,81
"418",3.471,1.514,10046,1,500,1,81
"419",-4.01,2.014,10046,1,500,-1,80
"420",1.963,2.541,10046,1,500,1,80
"421",-2.575,2.023,10046,1,500,-1,79
"422",2.902,2.525,10046,1,500,1,79
"423",-2.661,1.517,10046,1,500,-1,78
"424",1.734,1.019,10046,1,500,1,78
"425",0.762,0.791,10046,1,500,-1,77
"426",2.826,1.929,10046,1,500,1,77
"427",-2.269,3.932,10046,1,500,-1,76
"428",9.98,1.307,10046,1,500,1,76
"429",-5.04,1.05,10046,1,500,-1,75
"430",1.5,2.176,10046,1,500,1,75
"431",-1.867,2.18,10046,1,500,-1,74
"432",4.397,0.799,10046,1,500,1,74
"433",-3.616,2.735,10046,1,500,-1,73
"434",2.721,2.277,10046,1,500,1,73
"435",-1.312,2.366,10046,1,500,-1,72
"436",8.826,3.56,10046,1,500,1,72
"437",-6.629,1.771,10046,1,500,-1,71
"438",-1.031,1.563,10046,1,500,1,71
"439",-3.028,3.056,10046,1,500,-1,70
"440",0.735,1.094,10046,1,500,1,70
"441",-5.807,0.633,10046,1,500,-1,69
"442",0.304,2.584,10046,1,500,1,69
"443",-4.682,0.796,10046,1,500,-1,68
"444",0.226,1.935,10046,1,500,1,68
"445",-3.107,2.083,10046,1,500,-1,67
"446",1.802,1.578,10046,1,500,1,67
"447",-1.171,3.156,10046,1,500,-1,66
"448",8.116,1.402,10046,1,500,1,66
"449",-0.138,3.338,10046,1,500,-1,64
"450",6.678,2.422,10046,1,500,1,64
"451",-1.729,2.846,10046,1,500,-1,63
"452",6.609,2.279,10046,1,500,1,63
"453",-2.904,2.017,10046,1,500,-1,62
"454",3.6,2.514,10046,1,500,1,62
"455",0.088,2.425,10046,1,500,-1,61
"456",5.868,1.866,10046,1,500,1,61
"457",-2.19,1.352,10046,1,500,-1,60
"458",2.634,0.941,10046,1,500,1,60
"459",-3.455,1.459,10046,1,500,-1,59
"460",0.625,1.785,10046,1,500,1,59
"461",-14,3.932,10046,1,500,-1,58
"462",-2.844,3.736,10046,1,500,1,58
"463",-4.144,2.792,10046,1,500,-1,57
"464",2.598,2.893,10046,1,500,1,57
"465",-0.873,1.039,10046,1,500,-1,56
"466",2.81,1.147,10046,1,500,1,56
"467",-0.014,0.22,10046,1,500,-1,55
"468",1.333,0.667,10046,1,500,1,55
"469",-6.347,2.587,10046,1,500,-1,54
"470",-0.307,1.408,10046,1,500,1,54
"471",-0.783,0.532,10046,1,500,-1,52
"472",0.587,0.51,10046,1,500,1,52
"473",-1.292,5.088,10046,1,500,-1,51
"474",-0.884,1.346,10046,1,500,1,51
"475",0.471,0.667,10046,1,500,-1,50
"476",0.707,0,10046,1,500,1,50
"477",-1.963,1.385,10046,1,500,-1,49
"478",2.454,1.152,10046,1,500,1,49
"479",-2.459,1.931,10046,1,500,-1,48
"480",2.598,2.01,10046,1,500,1,48
"481",-2.855,3.678,10046,1,500,-1,47
"482",8.475,3.171,10046,1,500,1,47
"483",-3.593,1.728,10046,1,500,-1,46
"484",1.579,2.804,10046,1,500,1,46
"485",-1.54,2.066,10046,1,500,-1,45
"486",4.036,1.582,10046,1,500,1,45
"487",-5.842,3.21,10046,1,500,-1,44
"488",2.172,3.086,10046,1,500,1,44
"489",-0.205,1.264,10046,1,500,-1,43
"490",2.825,0.97,10046,1,500,1,43
"491",-1.166,0.772,10046,1,500,-1,42
"492",-0.019,3.699,10046,1,500,1,42
"493",0.97,2.94,10046,1,500,-1,41
"494",8.855,1.541,10046,1,500,1,41
"495",-4.453,0.634,10046,1,500,-1,40
"496",-0.665,1.066,10046,1,500,1,40
"497",0.119,1.527,10046,1,500,-1,39
"498",2.156,3.35,10046,1,500,1,39
"499",-2.965,1.222,10046,1,500,-1,38
"500",0.948,1.353,10046,1,500,1,38
"501",-4.4,1.448,10046,1,500,-1,37
"502",-0.183,2.057,10046,1,500,1,37
"503",-5.836,0.822,10046,1,500,-1,36
"504",0.809,1.775,10046,1,500,1,36
"505",-5.036,1.72,10046,1,500,-1,35
"506",0.821,2.427,10046,1,500,1,35
"507",-1.715,1.24,10046,1,500,-1,34
"508",1.621,1.072,10046,1,500,1,34
"509",-4.655,1.173,10046,1,500,-1,33
"510",-1.11,0.794,10046,1,500,1,33
"511",-4.579,0.593,10046,1,500,-1,32
"512",0.673,1.832,10046,1,500,1,32
"513",-1.599,1.094,10046,1,500,-1,31
"514",0.864,4.551,10046,1,500,1,31
"515",-0.44,1.854,10046,1,500,-1,30
"516",3.308,1.258,10046,1,500,1,30
"517",-4.55,2.153,10046,1,500,-1,29
"518",1.515,2.327,10046,1,500,1,29
"519",-6.324,1.992,10046,1,500,-1,28
"520",2.023,2.893,10046,1,500,1,28
"521",0.136,1.344,10046,1,500,-1,27
"522",4.677,1.325,10046,1,500,1,27
"523",-2.643,3.385,10046,1,500,-1,26
"524",5.6,2.009,10046,1,500,1,26
"525",-2.911,1.891,10046,1,500,-1,25
"526",3.026,1.965,10046,1,500,1,25
"527",-2.089,1.254,10046,1,500,-1,24
"528",1.778,1.028,10046,1,500,1,24
"529",-1.945,1.986,10046,1,500,-1,23
"530",2.193,1.473,10046,1,500,1,23
"531",-1.674,0.469,10046,1,500,-1,22
"532",1.28,0.997,10046,1,500,1,22
"533",-1.105,0.879,10046,1,500,-1,21
"534",2.298,1.113,10046,1,500,1,21
"535",0.531,0.777,10046,1,500,-1,20
