"","num","equil","pn","elapse"
"elapsed347","4","TRUE","150",3.67200000002049
"elapsed348","4","TRUE","150",3.61300000001211
"elapsed349","4","TRUE","150",3.34899999998743
"elapsed350","4","TRUE","200",5.98499999998603
"elapsed351","4","TRUE","200",6.24300000001676
"elapsed352","4","TRUE","200",6.0229999999865
"elapsed353","4","TRUE","200",5.93699999997625
"elapsed354","4","TRUE","200",7.02199999999721
"elapsed355","4","TRUE","200",6.27500000002328
"elapsed356","4","TRUE","200",6.67900000000373
"elapsed357","4","TRUE","200",6.65200000000186
"elapsed358","4","TRUE","200",6.03000000002794
"elapsed359","4","TRUE","200",6.06600000004983
"elapsed360","4","TRUE","200",6.94900000002235
"elapsed361","4","TRUE","200",6.23599999997532
"elapsed362","4","TRUE","200",6.07499999995343
"elapsed363","4","TRUE","200",6.40700000000652
"elapsed364","4","TRUE","200",6.21000000002095
"elapsed365","4","TRUE","200",6.03299999999581
"elapsed366","4","TRUE","200",6.02899999998044
"elapsed367","4","TRUE","200",5.96299999998882
"elapsed368","4","TRUE","200",5.86099999997532
"elapsed369","4","TRUE","200",6.16899999999441
"elapsed370","4","TRUE","200",6.84499999997206
"elapsed371","4","TRUE","200",6.84299999999348
"elapsed372","4","TRUE","200",6.11199999996461
"elapsed373","4","TRUE","200",7.22399999998743
"elapsed374","4","TRUE","200",5.71100000001024
"elapsed375","4","TRUE","200",6.25699999998324
"elapsed376","4","TRUE","200",5.93700000003446
"elapsed377","4","TRUE","200",5.95299999997951
"elapsed378","4","TRUE","200",6.43599999998696
"elapsed379","4","TRUE","200",5.96899999998277
"elapsed380","4","TRUE","200",6.4649999999674
"elapsed381","4","TRUE","200",6.55400000000373
"elapsed382","4","TRUE","200",5.84600000001956
"elapsed383","4","TRUE","200",6.85500000003958
"elapsed384","4","TRUE","200",6.3519999999553
"elapsed385","4","TRUE","200",5.87599999998929
"elapsed386","4","TRUE","200",5.7160000000149
"elapsed387","4","TRUE","200",6.23599999997532
"elapsed388","4","TRUE","200",5.83299999998417
"elapsed389","4","TRUE","200",6.10800000000745
"elapsed390","4","TRUE","200",6.28100000001723
"elapsed391","4","TRUE","200",6.50500000000466
"elapsed392","4","TRUE","200",6.39700000005541
"elapsed393","4","TRUE","200",5.9320000000298
"elapsed394","4","TRUE","200",7.23399999999674
"elapsed395","4","TRUE","200",6.43300000001909
"elapsed396","4","TRUE","200",6.21400000003632
"elapsed397","4","TRUE","200",6.82500000001164
"elapsed398","4","TRUE","200",6.28299999999581
"elapsed399","4","TRUE","200",6.26600000000326
"elapsed400","4","TRUE","300",13.7580000000307
"elapsed401","4","TRUE","300",13.6389999999665
"elapsed402","4","TRUE","300",13.4649999999674
"elapsed403","4","TRUE","300",13.6080000000075
"elapsed404","4","TRUE","300",14.6390000000247
"elapsed405","4","TRUE","300",13.6849999999977
"elapsed406","4","TRUE","300",13.8120000000345
"elapsed407","4","TRUE","300",14.2310000000289
"elapsed408","4","TRUE","300",13.9400000000023
"elapsed409","4","TRUE","300",14.0020000000368
"elapsed410","4","TRUE","300",13.935999999987
"elapsed411","4","TRUE","300",13.7660000000033
"elapsed412","4","TRUE","300",13.6270000000368
"elapsed413","4","TRUE","300",13.5929999999935
"elapsed414","4","TRUE","300",13.6080000000075
"elapsed415","4","TRUE","300",13.8939999999711
"elapsed416","4","TRUE","300",13.7220000000088
"elapsed417","4","TRUE","300",13.695000000007
"elapsed418","4","TRUE","300",13.6469999999972
"elapsed419","4","TRUE","300",13.7829999999958
"elapsed420","4","TRUE","300",13.9490000000224
"elapsed421","4","TRUE","300",13.350999999966
"elapsed422","4","TRUE","300",13.5470000000205
"elapsed423","4","TRUE","300",14.1849999999977
"elapsed424","4","TRUE","300",13.3190000000177
"elapsed425","4","TRUE","300",13.3950000000186
"elapsed426","4","TRUE","300",13.8230000000331
"elapsed427","4","TRUE","300",13.7119999999995
"elapsed428","4","TRUE","300",13.5989999999874
"elapsed429","4","TRUE","300",13.6870000000345
"elapsed430","4","TRUE","300",13.7019999999902
